timestamp,load_kw,pv_kw,buy_price,sell_price,p_battery_kw
2025-01-01 00:00:00,1.276,0.001,0.244,0.1137,-8.0
2025-01-01 00:15:00,1.27,0.0,0.244,0.1117,-8.0
2025-01-01 00:30:00,1.19,0.002,0.244,0.1055,-8.0
2025-01-01 00:45:00,1.171,0.0,0.244,0.1211,-1.6355
2025-01-01 01:00:00,1.06,0.0,0.244,0.1101,0.0
2025-01-01 01:15:00,1.261,0.0,0.244,0.1163,0.0
2025-01-01 01:30:00,1.205,0.001,0.244,0.1178,0.0
2025-01-01 01:45:00,1.409,0.0,0.244,0.1004,0.0
2025-01-01 02:00:00,1.252,0.0,0.244,0.117,0.0
2025-01-01 02:15:00,1.223,0.0,0.244,0.1119,0.0
2025-01-01 02:30:00,1.225,0.0,0.244,0.0969,0.0
2025-01-01 02:45:00,1.217,0.0,0.244,0.1086,0.0
2025-01-01 03:00:00,1.307,0.002,0.244,0.1156,0.0
2025-01-01 03:15:00,0.957,0.0,0.244,0.0979,0.0
2025-01-01 03:30:00,1.326,0.0,0.244,0.1104,0.0
2025-01-01 03:45:00,1.23,0.0,0.244,0.0986,0.0
2025-01-01 04:00:00,1.197,0.0,0.244,0.1259,0.0
2025-01-01 04:15:00,1.368,0.0,0.244,0.1226,0.0
2025-01-01 04:30:00,1.201,0.0,0.244,0.1042,0.0
2025-01-01 04:45:00,1.112,0.0,0.244,0.1078,0.0
2025-01-01 05:00:00,1.306,0.002,0.244,0.1197,0.0
2025-01-01 05:15:00,1.146,0.0,0.244,0.1095,0.0
2025-01-01 05:30:00,1.343,0.001,0.244,0.1195,0.0
2025-01-01 05:45:00,1.222,0.002,0.244,0.1147,0.0
2025-01-01 06:00:00,1.173,0.0,0.244,0.099,0.0
2025-01-01 06:15:00,1.461,0.001,0.244,0.1253,0.0
2025-01-01 06:30:00,1.441,0.0,0.244,0.1147,0.0
2025-01-01 06:45:00,1.818,0.0,0.244,0.1172,0.0
2025-01-01 07:00:00,1.719,0.0,0.244,0.1251,0.0
2025-01-01 07:15:00,2.035,0.0,0.244,0.1201,0.0
2025-01-01 07:30:00,2.19,0.005,0.244,0.1013,0.0
2025-01-01 07:45:00,2.257,0.194,0.244,0.1106,0.0
2025-01-01 08:00:00,2.785,0.369,0.244,0.1002,0.0
2025-01-01 08:15:00,2.698,0.537,0.244,0.0991,0.0
2025-01-01 08:30:00,2.648,0.657,0.244,0.1088,0.0
2025-01-01 08:45:00,2.671,0.92,0.244,0.1019,0.0
2025-01-01 09:00:00,2.049,0.879,0.244,0.0946,0.0
2025-01-01 09:15:00,1.837,1.314,0.244,0.0985,0.0
2025-01-01 09:30:00,1.848,1.434,0.244,0.1155,0.0
2025-01-01 09:45:00,1.788,1.553,0.244,0.1169,0.0
2025-01-01 10:00:00,2.401,1.895,0.244,0.0805,0.0
2025-01-01 10:15:00,2.544,1.8,0.244,0.0998,0.0
2025-01-01 10:30:00,2.554,1.651,0.244,0.0855,0.0
2025-01-01 10:45:00,2.476,1.718,0.244,0.0852,0.0
2025-01-01 11:00:00,2.211,2.203,0.244,0.0908,0.0
2025-01-01 11:15:00,2.535,2.039,0.244,0.0998,0.0
2025-01-01 11:30:00,2.456,2.266,0.244,0.0884,0.0
2025-01-01 11:45:00,2.39,1.652,0.244,0.0812,0.0
2025-01-01 12:00:00,1.941,1.741,0.244,0.1077,0.0
2025-01-01 12:15:00,2.285,2.075,0.244,0.0815,0.0
2025-01-01 12:30:00,2.768,1.801,0.244,0.0819,0.0
2025-01-01 12:45:00,3.241,1.528,0.244,0.1032,0.0
2025-01-01 13:00:00,3.331,1.741,0.244,0.1002,0.0
2025-01-01 13:15:00,3.242,1.898,0.244,0.0851,0.0
2025-01-01 13:30:00,2.923,2.045,0.244,0.0958,0.0
2025-01-01 13:45:00,2.681,1.756,0.244,0.0937,0.0
2025-01-01 14:00:00,1.534,1.606,0.244,0.0814,0.0
2025-01-01 14:15:00,1.588,1.543,0.244,0.0813,0.0
2025-01-01 14:30:00,1.529,1.397,0.244,0.0847,0.0
2025-01-01 14:45:00,1.748,1.138,0.244,0.0905,0.0
2025-01-01 15:00:00,1.398,1.207,0.244,0.0976,0.0
2025-01-01 15:15:00,1.497,0.823,0.244,0.0982,0.0
2025-01-01 15:30:00,1.795,0.777,0.244,0.1077,0.0
2025-01-01 15:45:00,1.664,0.543,0.244,0.1007,0.0
2025-01-01 16:00:00,1.551,0.341,0.244,0.0964,0.0
2025-01-01 16:15:00,1.632,0.213,0.244,0.1074,0.0
2025-01-01 16:30:00,1.74,0.007,0.244,0.11,0.0
2025-01-01 16:45:00,1.692,0.001,0.244,0.106,0.0
2025-01-01 17:00:00,1.22,0.001,0.244,0.1082,0.0
2025-01-01 17:15:00,1.823,0.002,0.244,0.1172,0.0
2025-01-01 17:30:00,2.756,0.001,0.244,0.1227,0.0
2025-01-01 17:45:00,3.337,0.002,0.244,0.1099,0.0
2025-01-01 18:00:00,3.52,0.0,0.244,0.1047,0.0
2025-01-01 18:15:00,4.187,0.0,0.244,0.1248,0.0
2025-01-01 18:30:00,4.034,0.0,0.244,0.1024,0.0
2025-01-01 18:45:00,3.924,0.0,0.244,0.1055,0.0
2025-01-01 19:00:00,4.11,0.0,0.244,0.104,0.0
2025-01-01 19:15:00,3.644,0.001,0.244,0.0969,0.0
2025-01-01 19:30:00,3.133,0.001,0.244,0.1102,0.0
2025-01-01 19:45:00,2.382,0.0,0.244,0.0938,0.0
2025-01-01 20:00:00,3.664,0.0,0.244,0.1123,0.0
2025-01-01 20:15:00,3.556,0.0,0.244,0.1148,0.0
2025-01-01 20:30:00,3.555,0.0,0.244,0.1111,0.0
2025-01-01 20:45:00,3.598,0.0,0.244,0.1222,0.0
2025-01-01 21:00:00,3.462,0.0,0.244,0.0959,0.0
2025-01-01 21:15:00,3.666,0.0,0.244,0.1211,0.0
2025-01-01 21:30:00,3.393,0.001,0.244,0.1182,0.0
2025-01-01 21:45:00,3.465,0.0,0.244,0.1085,0.0
2025-01-01 22:00:00,1.854,0.0,0.244,0.1218,0.0
2025-01-01 22:15:00,2.064,0.0,0.244,0.0939,0.0
2025-01-01 22:30:00,1.997,0.001,0.244,0.1229,0.0
2025-01-01 22:45:00,1.609,0.0,0.244,0.0965,0.0
2025-01-01 23:00:00,1.559,0.001,0.244,0.1268,0.0
2025-01-01 23:15:00,1.673,0.0,0.244,0.1209,0.0
2025-01-01 23:30:00,1.54,0.0,0.244,0.0988,0.0
2025-01-01 23:45:00,1.437,0.0,0.244,0.1034,0.0
2025-01-02 00:00:00,1.329,0.0,0.244,0.11,0.0
2025-01-02 00:15:00,1.158,0.002,0.244,0.1239,0.0
2025-01-02 00:30:00,1.169,0.0,0.244,0.1004,0.0
2025-01-02 00:45:00,1.256,0.0,0.244,0.1132,0.0
